Campak;Campak adalah infeksi virus yang ditandai dengan munculnya ruam di seluruh tubuh dan sangat menular. Penyakit ini disebabkan oleh virus dalam keluarga paramyxovirus yang biasanya ditularkan melalui kontak langsung dengan penderita atau lewat udara. Virus menginfeksi saluran pernapasan dan kemudian menyebar ke seluruh tubuh.;Campak disebabkan oleh virus jenis paramyxovirus yang menular melalui saluran pernapasan. Campak juga dapat menular apabila seseorang menghirup atau mengalami kontak langsung dengan cairan yang terinfeksi virus.;Istirahat yang cukup, menghindari cahaya, meningkatkan asupan cairan dan nutrisi, mengkonsumsi makanan yang mengandung vitamin A. Melakukan pemeriksaan ke dokter untuk mendapatkan pengobatan yang lebih baik dan sesuai dengan keluhan yag dirasakan.;Melakukan imunisasi vaksin khusus campak atau vaksin MMR;Komplikasi yang dapat terjadi adalah otitis media dan pneumonia
Vertigo;Vertigo adalah sebuah keadaan di mana penderitanya merasa seolah-olah lingkungan di sekitarnya berputar atau melayang. Kondisi ini juga akan membuat penderitanya kehilangan keseimbangan, sehingga kesulitan untuk sekadar berdiri atau bahkan berjalan.;Jenis vertigo bisa dibagi menjadi dua kategori sesuai dengan penyebabnya. Vertigo perifer dipicu oleh gangguan pada mekanisme keseimbangan yang terletak pada telinga bagian dalam. Gangguan tersebut meliputi labirinitis, vestibular neuronitis, vertigo posisi paroksismal jinak (BPPV), dan penyakit Meniere.vertigo sentral yang lain meliputi migrain, sklerosis multipel, stroke dan transient ischaemic attack (TIA), akibat obat-obatan tertentu, serta tumor otak yang terletak di otak kecil ataupun tumor jinak pada saraf pendengaran.;Pertolongan pertama yang bisa dilakukan adalah dengan beristirahat, vertigo akan membaik seiring berjalannya waktu. Jika vertigo tidak kunjung sembuh, diharapkan untuk menghubungi dokter untuk mendapatkan pengobatan lebih lanjut;;
Epistaksis/mimisan;Epistaksis atau mimisan adalah pendarahan yang keluar dari hidung;trauma (mengorek hidung, terjatuh, terpukul, benda asing di hidung, trauma pembedahan, atau iritasi gas yang merangsang), penyakit hati, pendarahan primer/sekunder, udara kering, cuaca dingin, obat - obatan, hipertensi, infeksi sistemin ( demam berdarah, tifoid, morbili), tumor;Posisikan duduk tegak dan condongkan tubuh  ke depan, jepit lubang hidung memakai ibu jari dan telunjuk guna menghentikan perdarahan. Jika pendarahan masih belum sembuh, segera bawa ke dokter terdekat untuk mendapatkan penanganan dan pemeriksaan lebih lanjut;;Pendarahan yang tidak kunjung berhenti akan menyebabkan anemia dan tekanan darah yang turun mendadak dapat menimbulkan iskemia otak
Rinosinusitis;Rinosinusitis adalah penyakit akibat peradangan pada mukosa sinus paranasalis dan rongga hidung. Rhinosinusitis adalah gabungan dari rhinitis dan sinusitis. Rhinitis adalah peradangan mukosa hidung sedangkan sinusitis adalah peradangan mukosa sinus. Sinus adalah rongga tulang wajah yang berfungsi sebagai penghasil lendir yang dialirkan ke hidung.;;Sebaiknya Anda berkonsultasi dengan dokter THT bila Anda mengalami gejala serupa. Dokter akan menelisik lebih lanjut gejala yang Anda alami dan melakukan pemeriksaan fisik yang diperlukan. Pemeriksaan penunjang seperti tes darah, tes alergi, foto rontgen, CT Scan dapat dokter anjurkan. Terapi yang sesuai akan dokter berikan.;menggunakan masker apabila sedang membersihkan rumah atau keluar rumah, konsumsi menu sehat secara teratur, minum air yang cukup, beristirahat yang cukup dan tidur berkualitas, berolahraga secara teratur;
Rintis Alergi;Rinitis alergi adalah peradangan yang terjadi pada rongga hidung akibat reaksi alergi dengan gejala bersin-bersin, rasa gatal, hidung tersumbat. Gejala pada kondisi ini biasanya langsung timbul setelah seseorang terpapar pemicu alergi (alergen).;Penyebab utama dari rinitis alergi adalah reaksi sistem kekebalan tubuh terhadap pemicu alergi. Sistem kekebalan tubuh yang menganggap alergen sebagai substansi berbahaya kemudian melepaskan senyawa histamin ke dalam darah. Reaksi inilah yang bisa memicu pembengkakan dan iritasi pada hidung serta produksi cairan hidung yang berlebih. Beberapa jenis alergen yang umum adalah serbuk sari, tungau, debu, serta bulu hewan.;Mencegah hal yang bisa memicu alergen, memberikan obat antihistamin sesuai dengan resep dokter dan lakukan konsultasi dengan dokter untuk lebih detailnya. ;Menjaga kebersihan rumah dari debu, menggunakan masker untuk melindungi dari penyebab alergi, menjauhkan hewan peliharaan dari ruangan;
Faringitis;Faringitis adalah  peradangan pada faring, yakni salah satu organ di dalam tenggorokan yang menghubungkan rongga belakang hidung dengan bagian belakang mulut. Dalam kondisi ini, tenggorokan akan terasa gatal dan sulit menelan. Faringitis disebabkan oleh virus (paling sering), bakteri, alergi.;Faringitis disebabkan oleh virus (paling sering), bakteri, alergi;Istirahat cukup, minum cukup, kumur dengan air hangat, kompres dingin di leher dapat mengurangi nyeri, mengonsumsi obat pereda nyeri seperti asetamenofen dan ibuprofen seperlunya. Jika rasa sakit tidak kunjung sembuh dan semakin parah, konsultasikan dengan dokter;Menjaga kebersihan makanan, peralatan makan, Mencuci tangan dengan sering, terutama sebelum makan dan setelah batuk atau bersin, Menghindari merokok dan menghirup asap rokok, Mengindari kontak dengan penderita faringitis;Komplikasi yang dapat ditimbulkan dari penyakit faringitis adalah demam reumatik yang dapat mengganggu katup jantung, meningitis, penumonia atau paru-paru basah, gangguan ginjal atau glomerulonephritis, abses pada tonsil atau jaringan lain pada tenggorokan.
Tonsilitis/Amandel;Tonsilitis atau radang amandel adalah peradangan yang terjadi pada amandel atau tonsil. Penyebab radang amandel atau tonsilitis pada umumnya adalah virus dan selebihnya disebabkan oleh bakteri. Mereka yang menderita tonsilitis akan mengalami sakit kepala, demam, nyeri tenggorokan saat menelan, sakit telinga, dan batuk. Gejala biasanya akan pulih dalam tiga hingga empat hari. Tongsilitis biasanya bersamaan dengan faringitis yang disebut faringotonsilits. Penyebaran infeksi ini melalui udara, tangan, dan ciuman.;Penyebab utama tonsilitis adalah virus dan bakteri. Infeksi bakteri seperti streptococcus dan Infeksi virus seperti Epstein-Barr, herpes, influenza, dan enterovirus merupakan penyebab paling umum dari tonsilitis.;minum air yang cukup dan asupan kalori yang cukup, mengontrol nyeri dan demam dengan mengompres atau obat-obatan, obat kumur untuk menjaga higienitas mulut, antibiotik sesuai denga saran dokter. Segera periksa ke dokter jika tidak kunjung sembuh dan semakin parah.;Menjaga kebersihan diri, Menggunakan sapu tangan untuk menutup hidung ketika bersin atau batuk, hindari menggunakan alat makan secara bergantian, menjaga kebersihan dengan sering mencuci tangan;komplikasi yang dapat timbul dari tonsilitis akut adalah otitis media akut, bronkitis (infeksi saluran pernapasan), dan penyakit dalam lainnya
;;;;;
;;;;;
;;;;;
;;;;;
